집계년도,시군명,관리기관명,단속일시정보,단속장소,단속방법,데이터기준일자
2023,경기도 오산시,오산시청,2023-12-01 18:01,센트하임앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 18:02,어울림복개천사거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 18:08,한신대GS25앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 18:09,피앤피프라자삼거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 18:14,피앤피프라자삼거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 18:16,유탑유블레스사거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 18:16,앱)궐동구이구이부근횡단보도/1분이상,안전신문고,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 18:17,앱)궐동로즈빌라부근소화전/1분이상,안전신문고,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 18:19,앱)궐동대한주택3차부근소화전/1분이상,안전신문고,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 18:20,피앤피프라자삼거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 18:21,세교9단지후문상가도로,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 18:22,GS25오산대림점앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 18:23,세교9단지후문상가도로,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 18:28,세교9단지후문상가도로,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 18:34,세마타워뒤,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 18:34,앱)원동깡우동부근소화전/1분이상,안전신문고,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 18:35,오원사거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 18:36,궐동아씨닭발뒤,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 18:37,GS25오산대림점앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 18:39,궐동한성빌리지공영주차장,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 18:41,GS25궐동승리점앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 18:42,운암4단지후문초심앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 18:42,피앤피프라자삼거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 18:43,GS25오산타운점맞은편,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 18:43,앱)궐동더블유하우스부근이중황색선/1분이상,안전신문고,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 18:45,시청스타벅스앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 18:50,한신대GS25앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 18:53,운암4단지후문초심앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:00,궐동아씨닭발뒤,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:01,우미아파트프라자빌,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:02,궐동아씨닭발뒤,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:02,앱)청학동한일펌프부근횡단보도/1분이상,안전신문고,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:02,앱)오산동원단스토리부근황색선/10분이상,안전신문고,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:03,GS25오산대림점앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:04,세교9단지후문상가도로,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:06,오산역1번출구,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:08,앱)오산동청호뼈감탕부근인도/1분이상,안전신문고,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:10,세교9단지후문상가도로,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:10,앱)오산동청호뼈감탕부근인도/1분이상,안전신문고,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:11,피앤피프라자삼거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:11,어울림복개천사거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:13,센트하임앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:14,앱)궐동대호초등학교부근횡단보도/1분이상,안전신문고,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:15,오산대역2번출입구,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:17,세마타워뒤,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:17,피앤피프라자삼거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:21,중앙동세명프라자,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:24,세교9단지후문상가도로,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:25,피앤피프라자삼거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:26,대호중앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:28,피앤피프라자삼거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:30,운암4단지후문초심앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:31,GS25궐동승리점앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:31,앱)궐동대박부동산부근황색선/10분이상,안전신문고,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:31,앱)궐동대박부동산부근황색선/10분이상,안전신문고,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:31,앱)궐동대박부동산부근황색선/10분이상,안전신문고,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:35,센트하임앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:36,청호자이후문앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:39,세교9단지후문상가도로,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:39,GS25궐동승리점앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:41,운암4단지후문초심앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:46,운암4단지후문초심앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:46,대호초정문앞사거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:46,피앤피프라자삼거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:52,어울림복개천사거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:53,앱)청호동오산자이아파트부근횡단보도/1분이상,안전신문고,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:54,GS25궐동승리점앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:54,오산대역더샵후문,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:56,오산대역더샵후문,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:56,앱)원동한성각부근소화전/1분이상,안전신문고,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 19:56,앱)원동한성각부근소화전/1분이상,안전신문고,2024-01-22
